Scenario - visual LTP Rap V4.0 HVC (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 10/08/2015 17:26:19

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

04_S0311_v0	1	Response	128	-5683	4150	1
04_S0311_v0	3	Picture	full1n	4833	0	1	3166	2	0	3120
04_S0311_v0	4	Picture	full1i	15999	0	1	2833	3	0	2790
04_S0311_v0	5	Picture	full1n	29332	0	1	4500	2	0	4450
04_S0311_v0	6	Picture	full0n	42666	0	1	3499	3	0	3450
04_S0311_v0	7	Picture	full1i	53499	0	1	4833	2	0	4790
04_S0311_v0	8	Picture	full1n	65665	0	1	4334	2	0	4290
04_S0311_v0	9	Picture	full0i	77832	0	1	3500	2	0	3450
04_S0311_v0	10	Picture	full0n	90332	0	1	4166	2	0	4120
04_S0311_v0	11	Picture	blue0i	101998	0	1	3000	2	0	2950
04_S0311_v0	11	Response	10	107840	5842	1
04_S0311_v0	12	Picture	full1i	114165	0	1	3833	2	0	3790
04_S0311_v0	13	Picture	full0n	127165	0	1	5000	2	0	4950
04_S0311_v0	14	Picture	full0i	139831	0	1	4167	2	0	4120
04_S0311_v0	15	Picture	full1n	153331	0	1	4167	2	0	4120
04_S0311_v0	16	Picture	full1i	165998	0	1	3666	2	0	3620
04_S0311_v0	17	Picture	full1n	177331	0	1	4500	2	0	4450
04_S0311_v0	18	Picture	blue1i	189497	0	1	3334	2	0	3290
04_S0311_v0	18	Response	10	194638	5141	2
04_S0311_v0	19	Picture	full1n	201664	0	1	4333	2	0	4290
04_S0311_v0	20	Picture	full0n	213830	0	2	4667	3	0	4620
04_S0311_v0	21	Picture	full1i	225664	0	1	2500	2	0	2450
04_S0311_v0	22	Picture	full0i	238163	0	2	3000	4	0	2950
04_S0311_v0	23	Picture	full0n	251663	0	1	5000	2	0	4950
04_S0311_v0	24	Picture	full0i	265163	0	1	4500	2	0	4450
04_S0311_v0	25	Picture	full0n	278163	0	1	3000	2	0	2950
04_S0311_v0	26	Picture	full1n	290830	0	1	3333	2	0	3290
04_S0311_v0	27	Picture	blue1i	302663	0	1	3166	2	0	3120
04_S0311_v0	27	Response	10	308936	6273	1
04_S0311_v0	28	Picture	full0i	315329	0	1	3834	2	0	3790
04_S0311_v0	29	Picture	full0n	327829	0	1	5000	2	0	4950
04_S0311_v0	30	Picture	full0i	339662	0	2	2500	3	0	2450
04_S0311_v0	31	Picture	full1n	350996	0	1	4333	2	0	4290
04_S0311_v0	32	Picture	full1i	363162	0	1	2833	2	0	2790
04_S0311_v0	33	Picture	full0n	374829	0	1	2833	2	0	2790
04_S0311_v0	34	Picture	full1n	385662	0	1	4167	2	0	4120
04_S0311_v0	35	Picture	full1i	397828	0	2	3667	3	0	3620
04_S0311_v0	36	Picture	full1n	410828	0	1	3667	2	0	3620
04_S0311_v0	37	Picture	full0i	422995	0	1	5000	2	0	4950
04_S0311_v0	38	Picture	blue1i	434328	0	1	2833	2	0	2790
04_S0311_v0	38	Response	10	440734	6406	1
04_S0311_v0	39	Picture	full1n	445495	0	1	3000	2	0	2950
04_S0311_v0	40	Picture	full0n	458161	0	1	2833	2	0	2790
04_S0311_v0	41	Picture	full0i	469328	0	1	4000	2	0	3950
04_S0311_v0	42	Picture	full0n	481494	0	1	3667	2	0	3620
04_S0311_v0	43	Picture	full0i	494494	0	1	2833	2	0	2790
04_S0311_v0	44	Picture	full0n	507827	0	1	4334	2	0	4290
04_S0311_v0	45	Picture	full1i	521160	0	2	3667	3	0	3620
04_S0311_v0	46	Picture	full0i	533827	0	1	3667	2	0	3620
04_S0311_v0	47	Picture	full1n	544660	0	1	4500	2	0	4450
04_S0311_v0	48	Picture	full0n	556827	0	1	3166	2	0	3120
04_S0311_v0	49	Picture	full1i	568493	0	1	3000	2	0	2950
04_S0311_v0	50	Picture	blue0i	580327	0	1	3166	2	0	3120
04_S0311_v0	50	Response	10	586532	6205	1
04_S0311_v0	51	Picture	full0n	591993	0	1	3833	2	0	3790
04_S0311_v0	52	Picture	full0i	604493	0	1	3000	2	0	2950
