Scenario - visual LTP Rap V4.0 HVD (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 10/08/2015 17:33:09

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

04_S0311_v0	1	Response	128	-883	8950	1
04_S0311_v0	3	Picture	full1n	9499	0	1	4667	2	0	4620
04_S0311_v0	4	Picture	full0n	21166	0	1	2666	2	0	2620
04_S0311_v0	5	Picture	full0i	32999	0	1	4333	2	0	4290
04_S0311_v0	6	Picture	blue0n	45999	0	1	2666	2	0	2620
04_S0311_v0	6	Response	10	50051	4052	1
04_S0311_v0	7	Picture	full1i	58165	0	1	4000	2	0	3950
04_S0311_v0	8	Picture	full1n	69332	0	1	2500	2	0	2450
04_S0311_v0	9	Picture	full0i	80665	0	1	4833	2	0	4790
04_S0311_v0	10	Picture	full1i	91498	0	1	2500	2	0	2450
04_S0311_v0	11	Picture	full0n	103665	0	1	2833	2	0	2790
04_S0311_v0	12	Picture	full1n	117165	0	1	4666	2	0	4620
04_S0311_v0	13	Picture	full1i	129331	0	1	4833	3	0	4790
04_S0311_v0	14	Picture	full1n	140164	0	2	4167	3	0	4120
04_S0311_v0	15	Picture	full1i	153164	0	1	4667	2	0	4620
04_S0311_v0	16	Picture	full0i	166497	0	2	4000	3	0	3950
04_S0311_v0	17	Picture	blue0n	179164	0	1	3000	2	0	2950
04_S0311_v0	17	Response	10	184948	5784	2
04_S0311_v0	18	Picture	full0i	191331	0	1	4333	2	0	4290
04_S0311_v0	19	Picture	full0n	202164	0	1	4166	2	0	4120
04_S0311_v0	20	Picture	full1n	214830	0	1	3167	2	0	3120
04_S0311_v0	21	Picture	full0i	225997	0	1	3833	2	0	3790
04_S0311_v0	22	Picture	full0n	238997	0	1	4166	2	0	4120
04_S0311_v0	23	Picture	full1i	250663	0	1	2500	2	0	2450
04_S0311_v0	24	Picture	full1n	262496	0	2	4167	3	0	4120
04_S0311_v0	25	Picture	full0i	273330	0	1	3000	2	0	2950
04_S0311_v0	26	Picture	full0n	285996	0	1	2833	3	0	2790
04_S0311_v0	27	Picture	full0i	297829	0	2	3167	3	0	3120
04_S0311_v0	28	Picture	full1i	309496	0	1	4833	2	0	4790
04_S0311_v0	29	Picture	blue1n	320829	0	1	4167	2	0	4120
