Scenario - visual LTP Rap V4.0 HVC (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 10/23/2015 13:03:15

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

07_S0314_v0	1	Response	128	-6285	3548	4
07_S0314_v0	3	Picture	full1n	3999	0	2	3167	3	0	3120	other	0
07_S0314_v0	4	Picture	full1i	14930	0	238	2903	239	0	2790	other	0
07_S0314_v0	5	Picture	full1n	28166	0	2	4500	4	0	4450	other	0
07_S0314_v0	6	Picture	full0n	41237	0	264	3596	266	0	3450	other	0
07_S0314_v0	7	Picture	full1i	52000	0	1	4833	3	0	4790	other	0
07_S0314_v0	8	Picture	full1n	64167	0	1	4333	2	0	4290	other	0
07_S0314_v0	9	Picture	full0i	76334	0	1	3500	2	0	3450	other	0
07_S0314_v0	10	Picture	full0n	88667	0	2	4167	3	0	4120	other	0
07_S0314_v0	11	Picture	blue0i	100138	0	198	3029	200	0	2950	false_alarm	11
07_S0314_v0	11	Response	10	104037	3899	3
07_S0314_v0	12	Picture	full1i	112168	0	1	3833	2	0	3790	other	0
07_S0314_v0	13	Picture	full0n	125001	0	1	5000	2	0	4950	other	0
07_S0314_v0	14	Picture	full0i	137668	0	1	4167	2	0	4120	other	0
07_S0314_v0	15	Picture	full1n	151168	0	2	4167	3	0	4120	other	0
07_S0314_v0	16	Picture	full1i	163835	0	2	3667	3	0	3620	other	0
07_S0314_v0	17	Picture	full1n	175169	0	1	4500	2	0	4450	other	0
07_S0314_v0	18	Picture	blue1i	187335	0	2	3334	3	0	3290	false_alarm	19
07_S0314_v0	18	Response	10	191237	3902	2
07_S0314_v0	19	Picture	full1n	199502	0	2	4334	3	0	4290	other	0
07_S0314_v0	20	Picture	full0n	211669	0	2	4667	3	0	4620	other	0
07_S0314_v0	21	Picture	full1i	223503	0	1	2500	2	0	2450	other	0
07_S0314_v0	22	Picture	full0i	235836	0	2	3000	3	0	2950	other	0
07_S0314_v0	23	Picture	full0n	249336	0	2	5000	4	0	4950	other	0
07_S0314_v0	24	Picture	full0i	262837	0	1	4500	2	0	4450	other	0
07_S0314_v0	25	Picture	full0n	275670	0	2	3000	3	0	2950	other	0
07_S0314_v0	26	Picture	full1n	288337	0	1	3333	3	0	3290	other	0
07_S0314_v0	27	Picture	blue1i	300170	0	2	3167	3	0	3120	false_alarm	29
07_S0314_v0	27	Response	10	304227	4057	2
07_S0314_v0	28	Picture	full0i	312837	0	2	3834	3	0	3790	other	0
07_S0314_v0	29	Picture	full0n	325171	0	1	5000	2	0	4950	other	0
07_S0314_v0	30	Picture	full0i	337004	0	2	2500	4	0	2450	other	0
07_S0314_v0	31	Picture	full1n	348338	0	1	4333	2	0	4290	other	0
07_S0314_v0	32	Picture	full1i	360505	0	1	2833	2	0	2790	other	0
07_S0314_v0	33	Picture	full0n	372005	0	1	2833	2	0	2790	other	0
07_S0314_v0	34	Picture	full1n	382838	0	2	4167	3	0	4120	other	0
07_S0314_v0	35	Picture	full1i	394996	0	30	3676	31	0	3620	other	0
07_S0314_v0	36	Picture	full1n	407839	0	1	3666	3	0	3620	other	0
07_S0314_v0	37	Picture	full0i	420006	0	1	5000	2	0	4950	other	0
07_S0314_v0	38	Picture	blue1i	431339	0	1	2834	2	0	2790	false_alarm	41
07_S0314_v0	38	Response	10	437227	5888	2
07_S0314_v0	39	Picture	full1n	442339	0	2	3000	4	0	2950	other	0
07_S0314_v0	40	Picture	full0n	455006	0	2	2833	4	0	2790	other	0
07_S0314_v0	41	Picture	full0i	466006	0	2	4000	4	0	3950	other	0
07_S0314_v0	42	Picture	full0n	478173	0	2	3667	3	0	3620	other	0
07_S0314_v0	43	Picture	full0i	491007	0	1	2833	2	0	2790	other	0
07_S0314_v0	44	Picture	full0n	504174	0	1	4333	2	0	4290	other	0
07_S0314_v0	45	Picture	full1i	517340	0	2	3667	3	0	3620	other	0
07_S0314_v0	46	Picture	full0i	530007	0	2	3667	3	0	3620	other	0
07_S0314_v0	47	Picture	full1n	540841	0	1	4500	2	0	4450	other	0
07_S0314_v0	48	Picture	full0n	553008	0	1	3166	2	0	3120	other	0
07_S0314_v0	49	Picture	full1i	564508	0	1	3000	2	0	2950	other	0
07_S0314_v0	50	Picture	blue0i	576341	0	2	3167	3	0	3120	false_alarm	54
07_S0314_v0	50	Response	10	580227	3886	2
07_S0314_v0	51	Picture	full0n	587841	0	2	3834	3	0	3790	other	0
07_S0314_v0	52	Picture	full0i	600175	0	1	3000	2	0	2950	other	0
07_S0314_v0	53	Picture	full0n	611675	0	2	4834	3	0	4790	other	0
07_S0314_v0	54	Picture	full1n	624842	0	1	2498	4	0	2450	other	0
07_S0314_v0	55	Picture	full1i	635675	0	2	3001	3	0	2950	other	0
07_S0314_v0	56	Picture	full0i	649176	0	1	3000	2	0	2950	other	0
07_S0314_v0	57	Picture	full0n	660509	0	2	3667	3	0	3620	other	0
07_S0314_v0	58	Picture	full1n	673676	0	1	3333	3	0	3290	other	0
07_S0314_v0	59	Picture	full1i	685843	0	1	4500	2	0	4450	other	0
07_S0314_v0	60	Picture	blue1n	697574	0	270	4269	271	0	4120	false_alarm	65
07_S0314_v0	60	Response	10	702727	5153	2
